Company_Code,Company_Name,Metric_Category,Metric_Name,Metric_Value,Unit,Page_Number,Verified,Extraction_Method,Confidence_Score,Validation_Status,Needs_Manual_Review,Extraction_Date,Notes
INFY,Infosys,Environmental,Total Water Consumption,,KL,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
INFY,Infosys,Environmental,Water Recycled Percentage,100.0,%,26.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: water recycled; Within expected range
INFY,Infosys,Environmental,Total Waste Generated,,MT,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
INFY,Infosys,Environmental,Waste Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
INFY,Infosys,Social,Total Employees,320000.0,Count,17.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: workforce; Within expected range
INFY,Infosys,Social,Female Employee Percentage,39.0,%,17.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: women employees; Within expected range
INFY,Infosys,Social,Employee Turnover Rate,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
INFY,Infosys,Social,Training Hours per Employee,2066.0,Hours,22.0,Auto-extracted (Needs Review),keyword_context,0.4,Outlier/Suspect,True,2026-09-02,Outside expected bounds 0-1000; Method: keyword_context; Keyword: training hours
INFY,Infosys,Social,Health and Safety Incidents,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
INFY,Infosys,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
INFY,Infosys,Governance,Board Size,19.0,Count,8.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: board of directors; Within expected range
INFY,Infosys,Governance,Independent Directors Percentage,0.98,%,11.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: non-executive; Within expected range
INFY,Infosys,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
INFY,Infosys,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
INFY,Infosys,Governance,Audit Committee Size,3.0,Count,13.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: audit committee; Within expected range
INFY,Infosys,Governance,Ethics Policy Violations,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Environmental,Total Energy Consumption,1.0,GWh,28.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total energy; Within expected range
WIPRO,Wipro,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Environmental,Total Water Consumption,2030.0,KL,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total water; Within expected range
WIPRO,Wipro,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Environmental,Total Waste Generated,,MT,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Environmental,Waste Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Social,Total Employees,10109.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total employees; Within expected range
WIPRO,Wipro,Social,Female Employee Percentage,37.0,%,11.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: gender diversity; Within expected range
WIPRO,Wipro,Social,Employee Turnover Rate,19.97,%,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: attrition; Within expected range
WIPRO,Wipro,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Social,Health and Safety Incidents,2024.0,Count,21.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: lost time injury; Within expected range
WIPRO,Wipro,Social,CSR Expenditure,10.0,Crores INR,13.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: corporate social responsibility; Within expected range
WIPRO,Wipro,Governance,Board Size,9.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: board of directors; Within expected range
WIPRO,Wipro,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
WIPRO,Wipro,Governance,Ethics Policy Violations,26.0,Count,5.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: complaints; Within expected range
HCLTECH,HCL Technologies,Environmental,Total Energy Consumption,2030.0,GWh,23.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: electricity; Within expected range
HCLTECH,HCL Technologies,Environmental,Renewable Energy Percentage,50.0,%,23.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: renewable energy; Within expected range
HCLTECH,HCL Technologies,Environmental,Total Water Consumption,,KL,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Environmental,Total Waste Generated,,MT,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Environmental,Waste Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Social,Total Employees,234496.0,Count,5.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: total employees; Within expected range
HCLTECH,HCL Technologies,Social,Female Employee Percentage,40.0,%,23.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: gender diversity; Within expected range
HCLTECH,HCL Technologies,Social,Employee Turnover Rate,90.0,%,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: turnover; Within expected range
HCLTECH,HCL Technologies,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Social,Health and Safety Incidents,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Board Size,10.0,Count,6.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: board of directors; Within expected range
HCLTECH,HCL Technologies,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Ethics Policy Violations,25.0,Count,10.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: complaints; Within expected range
TECHM,Tech Mahindra,Environmental,Total Energy Consumption,1.0,GWh,27.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total energy; Within expected range
TECHM,Tech Mahindra,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Environmental,Total Water Consumption,876.33,KL,28.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total water; Within expected range
TECHM,Tech Mahindra,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Environmental,Total Waste Generated,2024.0,MT,30.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total waste; Within expected range
TECHM,Tech Mahindra,Environmental,Waste Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Social,Total Employees,7827.0,Count,3.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total employees; Within expected range
TECHM,Tech Mahindra,Social,Female Employee Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Social,Employee Turnover Rate,90.0,%,2.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: turnover; Within expected range
TECHM,Tech Mahindra,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Social,Health and Safety Incidents,2024.0,Count,18.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: lost time injury; Within expected range
TECHM,Tech Mahindra,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Board Size,10.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: board of directors; Within expected range
TECHM,Tech Mahindra,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Ethics Policy Violations,25.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: complaints; Within expected range
LTIM,LTIMindtree,Environmental,Total Energy Consumption,25.0,GWh,3.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: energy consumption; Within expected range
LTIM,LTIMindtree,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Environmental,Total Water Consumption,25.0,KL,3.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: water consumption; Within expected range
LTIM,LTIMindtree,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Environmental,Total Waste Generated,,MT,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Environmental,Waste Recycled Percentage,7.0,%,3.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: waste recycled; Within expected range
LTIM,LTIMindtree,Social,Total Employees,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Social,Female Employee Percentage,14.4,%,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: female employees; Within expected range
LTIM,LTIMindtree,Social,Employee Turnover Rate,14.4,%,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: attrition; Within expected range
LTIM,LTIMindtree,Social,Training Hours per Employee,4.0,Hours,23.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: skill development; Within expected range
LTIM,LTIMindtree,Social,Health and Safety Incidents,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Governance,Board Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Governance,Independent Directors Percentage,7.0,%,3.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: independent directors; Within expected range
LTIM,LTIMindtree,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTIM,LTIMindtree,Governance,Ethics Policy Violations,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Total Energy Consumption,,GWh,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Total Water Consumption,,KL,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Total Waste Generated,,MT,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Waste Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,Total Employees,14.0,Count,27.0,Auto-extracted (Needs Review),keyword_context,0.4,Outlier/Suspect,True,2026-09-02,Outside expected bounds 100-10000000; Method: keyword_context; Keyword: workforce
MPHASIS,Mphasis,Social,Female Employee Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,Employee Turnover Rate,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,Health and Safety Incidents,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Governance,Board Size,31.0,Count,3.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: board of directors; Within expected range
MPHASIS,Mphasis,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
MPHASIS,Mphasis,Governance,Audit Committee Size,24.0,Count,14.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: audit committee; Within expected range
MPHASIS,Mphasis,Governance,Ethics Policy Violations,1.0,Count,8.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: complaints; Within expected range
PERSISTENT,Persistent Systems,Environmental,Total Energy Consumption,1.0,GWh,23.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total energy; Within expected range
PERSISTENT,Persistent Systems,Environmental,Renewable Energy Percentage,100.0,%,9.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: renewable energy; Within expected range
PERSISTENT,Persistent Systems,Environmental,Total Water Consumption,100.0,KL,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: water consumption; Within expected range
PERSISTENT,Persistent Systems,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Environmental,Total Waste Generated,2024.0,MT,24.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total waste; Within expected range
PERSISTENT,Persistent Systems,Environmental,Waste Recycled Percentage,100.0,%,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: recycling; Within expected range
PERSISTENT,Persistent Systems,Social,Total Employees,2389.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total employees; Within expected range
PERSISTENT,Persistent Systems,Social,Female Employee Percentage,35.0,%,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: gender diversity; Within expected range
PERSISTENT,Persistent Systems,Social,Employee Turnover Rate,90.0,%,3.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: turnover; Within expected range
PERSISTENT,Persistent Systems,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Social,Health and Safety Incidents,2024.0,Count,18.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: lost time injury; Within expected range
PERSISTENT,Persistent Systems,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Board Size,9.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: board of directors; Within expected range
PERSISTENT,Persistent Systems,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Ethics Policy Violations,0.0,Count,5.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: complaints; Within expected range
COFORGE,Coforge,Environmental,Total Energy Consumption,,GWh,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
COFORGE,Coforge,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
COFORGE,Coforge,Environmental,Total Water Consumption,,KL,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
COFORGE,Coforge,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
COFORGE,Coforge,Environmental,Total Waste Generated,5.0,MT,20.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: hazardous waste; Within expected range
COFORGE,Coforge,Environmental,Waste Recycled Percentage,100.0,%,2.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: recycling; Within expected range
COFORGE,Coforge,Social,Total Employees,1279.0,Count,5.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: total employees; Within expected range
COFORGE,Coforge,Social,Female Employee Percentage,0.11,%,30.0,Auto-extracted (Needs Review),keyword_context,0.4,Outlier/Suspect,True,2026-09-02,"Very low value, verify manually; Method: keyword_context; Keyword: female employees"
COFORGE,Coforge,Social,Employee Turnover Rate,90.0,%,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: turnover; Within expected range
COFORGE,Coforge,Social,Training Hours per Employee,3.0,Hours,2.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: skill development; Within expected range
COFORGE,Coforge,Social,Health and Safety Incidents,2024.0,Count,24.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: safety incidents; Within expected range
COFORGE,Coforge,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Board Size,6.0,Count,5.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: board of directors; Within expected range
COFORGE,Coforge,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Ethics Policy Violations,10.0,Count,8.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: complaints; Within expected range
LTTS,L&T Technology Services,Environmental,Total Energy Consumption,25.0,GWh,9.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: total energy; Within expected range
LTTS,L&T Technology Services,Environmental,Renewable Energy Percentage,10.6,%,9.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: renewable energy; Within expected range
LTTS,L&T Technology Services,Environmental,Total Water Consumption,,KL,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTTS,L&T Technology Services,Environmental,Water Recycled Percentage,10.6,%,9.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: water recycled; Within expected range
LTTS,L&T Technology Services,Environmental,Total Waste Generated,,MT,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
LTTS,L&T Technology Services,Environmental,Waste Recycled Percentage,10.6,%,9.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: waste recycled; Within expected range
LTTS,L&T Technology Services,Social,Total Employees,100.0,Count,10.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: workforce; Within expected range
