scope,company_code,company_name,seconds
2026-09-03T07:34:04,KPITTECH,KPIT Technologies,0.858
2026-09-03T07:34:04,CYIENT,Cyient,4.576
2026-09-03T07:34:04,BSOFT,Birlasoft,1.168
2026-09-03T07:34:04,ZENSARTECH,Zensar Technologies,0.935
2026-09-03T07:34:04,TATATECH,Tata Technologies,1.622
2026-09-03T07:34:04,HAPPSTMNDS,Happiest Minds Technologies,0.897
2026-09-03T07:34:04,SONATSOFTW,Sonata Software,171.532
2026-09-03T07:34:04,HEXAWARE,Hexaware Technologies,9.853
2026-09-03T07:34:04,MINDTREE,Mindtree (legacy symbol),1.868
2026-09-03T07:34:04,NEWGEN,Newgen Software Technologies,0.706
2026-09-03T07:34:04,TANLA,Tanla Platforms,0.937
2026-09-03T07:34:04,INTELLECT,Intellect Design Arena,12.514
2026-09-03T07:34:04,ROUTE,Route Mobile,1.904
2026-09-03T07:34:04,RATEGAIN,RateGain Travel Technologies,14.776
2026-09-03T07:34:04,ECLERX,eClerx Services,1.282
2026-09-03T07:34:04,DATAMATICS,Datamatics Global Services,103.604
2026-09-03T07:34:04,MASTEK,Mastek,0.259
2026-09-03T07:34:04,SONACOMS,Sona BLW Precision Forgings,0.665
2026-09-03T07:34:04,HGS,Hinduja Global Solutions,8.807
2026-09-03T07:34:04,NIITLTD,NIIT,6.892
2026-09-03T07:34:04,E2E,E2E Networks,2.460
2026-09-03T07:34:04,AFFLE,Affle India,0.642
2026-09-03T07:34:04,MPSLTD,MPS,2.038
2026-09-03T07:34:04,SUBEXLTD,Subex,0.678
2026-09-03T07:34:04,SIS,Security and Intelligence Services,0.811
2026-09-03T07:34:04,ZOMATO,Eternal (formerly Zomato),1.552
2026-09-03T07:34:04,PAYTM,One 97 Communications,1.056
2026-09-03T07:34:04,POLICYBZR,PB Fintech,0.512
2026-09-03T07:34:04,DELHIVERY,Delhivery,0.990
2026-09-03T07:34:04,NAZARA,Nazara Technologies,1.479
2026-09-03T07:34:04,TATACOMM,Tata Communications,0.833
2026-09-03T07:34:04,INDUSTOWER,Indus Towers,1.394
2026-09-03T07:34:04,BHARTIARTL,Bharti Airtel,1.785
2026-09-03T07:34:04,TEJASNET,Tejas Networks,6.376
2026-09-03T07:34:04,REDINGTON,Redington,1.903
2026-09-03T07:34:04,HCL-INFO,HCL Infosystems,2.627
2026-09-03T07:34:04,MAZDOCK,Mazagon Dock Shipbuilders,0.818
2026-09-03T07:34:04,TITAN,Titan Company,4.375
OVERALL,ALL,All companies,483.248
